Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
20.07.2026;Bayer IHS 4 % 26.08.26;A351UZ;3,277%;EUR;0,046%;1,413%;26.08.2026;4,0000%;0,0986;3,3006%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
20.07.2026;BMW IHS 3,125 % 22.07.29;A4D5RW;3,696%;EUR;0,008%;0,195%;22.07.2029;3,1250%;2,8270;3,4062%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
20.07.2026;Deutsche Post IHS 3,0 % 25.11.31;A460PH;4,812%;EUR;0,041%;0,804%;25.11.2031;3,0000%;4,9346;3,3418%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
20.07.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;3,189%;EUR;-0,006%;-0,194%;24.05.2030;1,8750%;3,7306;3,1409%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
20.07.2026;Dt. Telekom IHS 1,375 % 05.07.34;A2YNSK;3,267%;EUR;0,029%;0,797%;05.07.2034;1,3750%;7,5672;3,5636%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
20.07.2026;E.ON IHS 3,448 % 19.01.34;A460EP;4,027%;EUR;-0,021%;-0,541%;19.01.2034;3,4480%;6,6590;3,8565%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
20.07.2026;EnBW Green Bond IHS 3,5 % 22.07.31;A3L1LT;3,566%;EUR;0,008%;0,211%;22.07.2031;3,5000%;4,5330;3,4820%;Corporates;Europa ohne Deutschland;Renten;3;Muster defensiv cVV
20.07.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;4,050%;EUR;0,036%;0,860%;31.03.2028;1,8750%;1,6746;3,2686%;Corporates;Deutschland;Renten;5;Muster defensiv cVV
20.07.2026;Fresenius IHS 0,875 % 01.10.31;A3KN0R;3,369%;EUR;-0,005%;-0,174%;01.10.2031;0,8750%;5,0612;3,6478%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
20.07.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;2,894%;USD;0,371%;14,260%;-;0%;-;-;Index;Global;Aktien;5;Muster defensiv cVV
20.07.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;3,409%;EUR;0,011%;0,308%;01.11.2028;2,0000%;2,2233;3,1055%;Financials;Nordamerika;Renten;3;Muster defensiv cVV
20.07.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;2,840%;EUR;0,007%;0,214%;06.07.2029;5,7500%;2,8062;4,0627%;Financials;Deutschland;Renten;3;Muster defensiv cVV
20.07.2026;Heidelberg Materials IHS 3,75 % 31.05.32 ;A30V5U;3,539%;EUR;0,010%;0,192%;31.05.2032;3,7500%;5,3635;3,6291%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
20.07.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;3,473%;EUR;-0,069%;-1,899%;03.09.2031;1,2500%;4,9305;3,8589%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
20.07.2026;Japan Equity Active ETF (GS);A4135A;2,459%;JPY;-0,028%;-1,231%;-;0%;-;-;Index;Japan;Aktien;4;Muster defensiv cVV
20.07.2026;MSCI Europe Industrials Sector ETF (iShares);A2QBZ6;3,741%;EUR;0,300%;8,123%;-;0%;-;-;Index;Europa;Aktien;4;Muster defensiv cVV
20.07.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;2,480%;EUR;0,102%;4,452%;-;0%;-;-;Chemie,Pharma;Global;Aktien;4;Muster defensiv cVV
20.07.2026;MSCI World IT ETF (Xtrackers);A113FM;3,226%;USD;0,547%;19,556%;-;0%;-;-;Informationstechnologie;Global;Aktien;5;Muster defensiv cVV
20.07.2026;Nestle Finance IHS 2,875 % 14.01.32;A3L71X;3,977%;EUR;-0,034%;-0,863%;14.01.2032;2,8750%;5,0861;3,3239%;Corporates;Europa ohne Deutschland;Renten;3;Muster defensiv cVV
20.07.2026;Porsche IHS 4,25 % 27.09.30;A351SX;4,133%;EUR;0,041%;0,918%;27.09.2030;4,2500%;3,8122;3,9433%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
20.07.2026;RCI Banque IHS 1,125 % 15.01.27;A28R15;3,937%;EUR;0,051%;1,292%;15.01.2027;1,1250%;0,4877;3,0305%;Financials;Europa ohne Deutschland;Renten;3;Muster defensiv cVV
20.07.2026;Semiconductor ETF (VanEck);A2QC5J;3,323%;EUR;2,722%;75,381%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;6;Muster defensiv cVV
20.07.2026;Stoxx Europe 600 Insurance ETF (iShares);A0H08K;2,322%;EUR;0,145%;6,505%;-;0%;-;-;Index;Europa;Aktien;4;Muster defensiv cVV
20.07.2026;VW IHS 1,625 % 16.01.30;A1ZUTM;3,351%;EUR;-0,006%;-0,230%;16.01.2030;1,6250%;3,3937;3,6683%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
20.07.2026;Würth Finance IHS 3 % 28.08.31;A3L4ZS;3,676%;EUR;0,040%;1,039%;28.08.2031;3,0000%;4,6907;3,1960%;Corporates;Deutschland;Renten;3;Muster defensiv cVV
20.07.2026;XETRA Gold;A0S9GB;7,758%;EUR;-0,381%;-6,006%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Muster defensiv cVV
;;;;;;;;;;;;;;;
