Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
19.03.2026;Bayer IHS 4,625 % 26.05.33 ;A351U1;4,662%;-0,038%;-0,850%;26.05.2033;4,6250%;Corporates;Deutschland;Renten;Muster konservativ cVV
19.03.2026;BMW IHS 3,75 % 20.11.34;A4EBBT;4,868%;-0,035%;-0,734%;20.11.2034;3,7500%;Corporates;Deutschland;Renten;Muster konservativ cVV
19.03.2026;Deutsche Börse IHS 3,25 % 24.03.31;A460QR;3,972%;0,001%;0,032%;24.03.2031;3,2500%;Corporates;Deutschland;Renten;Muster konservativ cVV
19.03.2026;Deutsche Post IHS 3,0 % 25.11.31;A460PH;4,018%;-0,048%;-1,195%;25.11.2031;3,0000%;Corporates;Deutschland;Renten;Muster konservativ cVV
19.03.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;4,378%;-0,037%;-0,861%;24.05.2030;1,8750%;Corporates;Deutschland;Renten;Muster konservativ cVV
19.03.2026;Dt. Telekom IHS 1,375 % 05.07.34;A2YNSK;3,879%;-0,048%;-1,265%;05.07.2034;1,3750%;Corporates;Deutschland;Renten;Muster konservativ cVV
19.03.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;3,639%;-0,024%;-0,679%;12.01.2035;3,8750%;Corporates;Deutschland;Renten;Muster konservativ cVV
19.03.2026;EnBW Green Bond IHS 4,049 % 22.11.29;A3LBKC;4,486%;-0,024%;-0,545%;22.11.2029;4,0490%;Corporates;Europa ohne Deutschland;Renten;Muster konservativ cVV
19.03.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;3,614%;-0,012%;-0,336%;31.03.2028;1,8750%;Corporates;Deutschland;Renten;Muster konservativ cVV
19.03.2026;Fresenius IHS 0,5 % 01.10.28;A3KN0S;4,402%;-0,036%;-0,825%;01.10.2028;0,5000%;Corporates;Deutschland;Renten;Muster konservativ cVV
19.03.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;4,604%;-0,047%;-1,025%;01.11.2028;2,0000%;Financials;Nordamerika;Renten;Muster konservativ cVV
19.03.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;4,939%;0,017%;0,332%;06.07.2029;5,7500%;Financials;Deutschland;Renten;Muster konservativ cVV
19.03.2026;Heidelberg Materials IHS 3,75 % 31.05.32 ;A30V5U;4,212%;-0,024%;-0,589%;31.05.2032;3,7500%;Corporates;Deutschland;Renten;Muster konservativ cVV
19.03.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;3,867%;-0,054%;-1,396%;03.09.2031;1,2500%;Corporates;Deutschland;Renten;Muster konservativ cVV
19.03.2026;KfW staatsg. Green Bond IHS 2,875 % 31.03.32;A38J3W;3,739%;-0,008%;-0,213%;31.03.2032;2,8750%;staatsgarantiert;Deutschland;Renten;Muster konservativ cVV
19.03.2026;Knorr Bremse Green Bond IHS 3,25 % 30.09.32;A383RY;3,833%;-0,003%;-0,113%;30.09.2032;3,2500%;Corporates;Deutschland;Renten;Muster konservativ cVV
19.03.2026;NordLB Green Bond IHS 4,875 % 11.07.28;NLB4RS;4,471%;-0,014%;-0,334%;11.07.2028;4,8750%;Financials;Deutschland;Renten;Muster konservativ cVV
19.03.2026;Porsche IHS 4,25 % 27.09.30;A351SX;4,551%;0,012%;0,241%;27.09.2030;4,2500%;Corporates;Deutschland;Renten;Muster konservativ cVV
19.03.2026;RCI Banque IHS 4,875 % 02.10.29;A3LNYD;4,508%;-0,023%;-0,535%;02.10.2029;4,8750%;Financials;Europa ohne Deutschland;Renten;Muster konservativ cVV
19.03.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;4,798%;-0,002%;-0,057%;26.11.2028;0,5000%;Corporates;Deutschland;Renten;Muster konservativ cVV
19.03.2026;VW Green Bond IHS 3,875 % 10.09.30;A383ET;4,782%;-0,026%;-0,571%;10.09.2030;3,8750%;Corporates;Deutschland;Renten;Muster konservativ cVV
19.03.2026;XETRA Gold;A0S9GB;9,032%;0,603%;6,264%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;Muster konservativ cVV
;;;;;;;;;;;
