Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;Bayer IHS 4,625 % 26.05.33 ;A351U1;4,703%;0,039%;0,798%;26.05.2033;4,6250%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;BMW IHS 3,75 % 20.11.34;A4EBBT;4,907%;0,042%;0,837%;20.11.2034;3,7500%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;Deutsche Börse IHS 3,25 % 24.03.31;A460QR;4,002%;0,062%;1,560%;24.03.2031;3,2500%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;Deutsche Post IHS 3,0 % 25.11.31;A460PH;4,042%;0,007%;0,146%;25.11.2031;3,0000%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;4,393%;0,013%;0,263%;24.05.2030;1,8750%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;Dt. Telekom IHS 1,375 % 05.07.34;A2YNSK;3,968%;0,071%;1,768%;05.07.2034;1,3750%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;3,537%;0,035%;0,950%;12.01.2035;3,8750%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;EnBW Green Bond IHS 4,049 % 22.11.29;A3LBKC;4,500%;0,025%;0,544%;22.11.2029;4,0490%;Corporates;Europa ohne Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;3,555%;0,025%;0,703%;31.03.2028;1,8750%;Corporates;Deutschland;Renten;5;Muster konservativ cVV
17.06.2026;Fresenius IHS 0,5 % 01.10.28;A3KN0S;4,426%;0,023%;0,495%;01.10.2028;0,5000%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;4,638%;0,023%;0,463%;01.11.2028;2,0000%;Financials;Nordamerika;Renten;3;Muster konservativ cVV
17.06.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;4,958%;0,074%;1,494%;06.07.2029;5,7500%;Financials;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;Heidelberg Materials IHS 3,75 % 31.05.32 ;A30V5U;4,252%;0,049%;1,116%;31.05.2032;3,7500%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;3,844%;-0,047%;-1,227%;03.09.2031;1,2500%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;KfW staatsg. Green Bond IHS 2,875 % 31.03.32;A38J3W;3,643%;0,030%;0,826%;31.03.2032;2,8750%;staatsgarantiert;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;Knorr Bremse Green Bond IHS 3,25 % 30.09.32;A383RY;3,841%;0,034%;0,862%;30.09.2032;3,2500%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;NordLB Green Bond IHS 4,875 % 11.07.28;NLB4RS;4,505%;0,054%;1,186%;11.07.2028;4,8750%;Financials;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;Porsche IHS 4,25 % 27.09.30;A351SX;4,595%;0,091%;1,979%;27.09.2030;4,2500%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;RCI Banque IHS 4,875 % 02.10.29;A3LNYD;4,535%;0,039%;0,826%;02.10.2029;4,8750%;Financials;Europa ohne Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;4,807%;0,044%;0,902%;26.11.2028;0,5000%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;VW Green Bond IHS 3,875 % 10.09.30;A383ET;4,808%;0,037%;0,750%;10.09.2030;3,8750%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
17.06.2026;XETRA Gold;A0S9GB;8,468%;0,098%;0,390%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Muster konservativ cVV
;;;;;;;;;;;;
