Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
19.08.2026;Bayer IHS 4,625 % 26.05.33 ;A351U1;4,516%;EUR;0,022%;0,434%;26.05.2033;4,6250%;5,9626;3,9790%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;BMW IHS 3,75 % 20.11.34;A4EBBT;4,846%;EUR;-0,049%;-1,043%;20.11.2034;3,7500%;7,1200;4,1318%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;Deutsche Börse IHS 3,25 % 24.03.31;A460QR;4,005%;EUR;0,039%;0,990%;24.03.2031;3,2500%;4,2928;3,3962%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;Deutsche Post IHS 3,0 % 25.11.31;A460PH;4,049%;EUR;-0,012%;-0,315%;25.11.2031;3,0000%;4,8521;3,4320%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;Dt. Bahn IHS 1,875 % 24.05.30;A30VH4;4,317%;EUR;-0,007%;-0,178%;24.05.2030;1,8750%;3,6483;3,2083%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;Dt. Telekom IHS 1,375 % 05.07.34;A2YNSK;3,882%;EUR;0,023%;0,518%;05.07.2034;1,3750%;7,4847;3,6421%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;E.ON Green Bond IHS 3,875 % 12.01.35;A30V8B;3,500%;EUR;-0,024%;-0,736%;12.01.2035;3,8750%;7,2380;3,9850%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;EnBW Green Bond IHS 4,049 % 22.11.29;A3LBKC;4,522%;EUR;0,018%;0,394%;22.11.2029;4,0490%;3,0372;3,3996%;Corporates;Europa ohne Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;Fraport IHS 1,875 % 31.03.28;A3E5F0;3,591%;EUR;0,039%;1,079%;31.03.2028;1,8750%;1,5924;3,2989%;Corporates;Deutschland;Renten;5;Muster konservativ cVV
19.08.2026;Fresenius IHS 0,5 % 01.10.28;A3KN0S;4,457%;EUR;0,026%;0,555%;01.10.2028;0,5000%;2,0997;3,3479%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;Goldman Sachs IHS 2 % 01.11.28;A19340;4,666%;EUR;0,022%;0,444%;01.11.2028;2,0000%;2,1411;3,1612%;Financials;Nordamerika;Renten;3;Muster konservativ cVV
19.08.2026;Grenke Finance IHS 5,75 % 06.07.29 ;A3LY39;4,748%;EUR;0,091%;1,859%;06.07.2029;5,7500%;2,7240;4,0057%;Financials;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;Heidelberg Materials IHS 3,75 % 31.05.32 ;A30V5U;4,086%;EUR;0,007%;0,114%;31.05.2032;3,7500%;5,2810;3,7022%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;Hochtief IHS 1,25 % 03.09.31;A2YN2V;3,860%;EUR;-0,055%;-1,436%;03.09.2031;1,2500%;4,8482;3,8247%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;KfW staatsg. Green Bond IHS 2,875 % 31.03.32;A38J3W;3,627%;EUR;-0,010%;-0,271%;31.03.2032;2,8750%;5,2119;3,1942%;staatsgarantiert;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;Knorr Bremse Green Bond IHS 3,25 % 30.09.32;A383RY;3,834%;EUR;0,002%;0,030%;30.09.2032;3,2500%;5,5020;3,5084%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;NordLB Green Bond IHS 4,875 % 11.07.28;NLB4RS;4,531%;EUR;0,051%;1,125%;11.07.2028;4,8750%;1,8449;3,1565%;Financials;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;Porsche IHS 4,25 % 27.09.30;A351SX;4,609%;EUR;0,076%;1,655%;27.09.2030;4,2500%;3,7299;3,8290%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;RCI Banque IHS 4,875 % 02.10.29;A3LNYD;4,559%;EUR;0,033%;0,711%;02.10.2029;4,8750%;2,8601;3,7749%;Financials;Europa ohne Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;RWE Green Bond IHS 0,5 % 26.11.28;A3MP70;4,839%;EUR;0,045%;0,938%;26.11.2028;0,5000%;2,2531;3,0665%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;VW Green Bond IHS 3,875 % 10.09.30;A383ET;4,817%;EUR;0,016%;0,298%;10.09.2030;3,8750%;3,7107;3,8266%;Corporates;Deutschland;Renten;3;Muster konservativ cVV
19.08.2026;XETRA Gold;A0S9GB;8,722%;EUR;0,303%;2,758%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Muster konservativ cVV
;;;;;;;;;;;;;;;
