Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Portfolio Name
19.03.2026;Alphabet Inc. A;A14Y6F;4,368%;-0,023%;-0,538%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster offensiv cVV
19.03.2026;Amazon.com Inc.;906866;3,645%;-0,321%;-8,302%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster offensiv cVV
19.03.2026;Arista Networks Inc.;A40V33;3,886%;0,191%;5,430%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster offensiv cVV
19.03.2026;Booking Holdings Inc.;A2JEXP;3,314%;-0,738%;-18,557%;-;0%;Dienstleistungen;Nordamerika;Aktien;Muster offensiv cVV
19.03.2026;Deutsche Börse AG;581005;3,354%;0,358%;12,366%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Muster offensiv cVV
19.03.2026;Deutsche Telekom AG;555750;3,406%;0,464%;16,233%;-;0%;Informationstechnologie;Deutschland;Aktien;Muster offensiv cVV
19.03.2026;Eli Lilly and Company;858560;3,473%;-0,521%;-13,445%;-;0%;Chemie,Pharma;Nordamerika;Aktien;Muster offensiv cVV
19.03.2026;Franklin European Dividend ETF;A2DTF2;4,137%;0,094%;2,400%;-;0%;Index;Europa;Aktien;Muster offensiv cVV
19.03.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;5,509%;0,589%;12,320%;-;0%;Index;Global;Aktien;Muster offensiv cVV
19.03.2026;Intuitive Surgical Inc.;888024;2,575%;-0,410%;-14,114%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;Muster offensiv cVV
19.03.2026;Japan Equity Partners Portfolio GS;A14T2K;5,247%;0,062%;1,208%;-;0%;Region;Japan;Aktien;Muster offensiv cVV
19.03.2026;Linde plc;A3D7VW;4,284%;0,593%;16,460%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;Muster offensiv cVV
19.03.2026;McDonalds Corp.;856958;3,413%;-0,198%;-5,664%;-;0%;Handel,Konsum;Nordamerika;Aktien;Muster offensiv cVV
19.03.2026;Meta Platforms Inc. A;A1JWVX;3,122%;-0,222%;-6,817%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster offensiv cVV
19.03.2026;Microsoft Corp.;870747;2,788%;-0,614%;-18,459%;-;0%;Informationstechnologie;Nordamerika;Aktien;Muster offensiv cVV
19.03.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;3,369%;-0,134%;-3,983%;-;0%;Chemie,Pharma;Global;Aktien;Muster offensiv cVV
19.03.2026;Münchener Rückvers.-Ges. AG;843002;4,375%;-0,261%;-5,799%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;Muster offensiv cVV
19.03.2026;Semiconductor ETF (VanEck);A2QC5J;7,139%;0,776%;12,516%;-;0%;Nachhaltigkeit;Global;Aktien;Muster offensiv cVV
19.03.2026;Siemens AG;723610;3,314%;-0,442%;-12,064%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;Muster offensiv cVV
19.03.2026;StoxxEuro.600 Construc. & Materials ETF (iSh);A0H08F;4,116%;-0,334%;-7,800%;-;0%;Index;Europa;Aktien;Muster offensiv cVV
19.03.2026;VISA Inc.;A0NC7B;3,250%;-0,488%;-13,360%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;Muster offensiv cVV
19.03.2026;XETRA Gold;A0S9GB;7,081%;0,408%;6,264%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;Muster offensiv cVV
19.03.2026;Zurich Insurance Group AG;579919;2,743%;-0,225%;-7,822%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;Muster offensiv cVV
;;;;;;;;;;;
