Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
17.06.2026;Alphabet Inc. A;A14Y6F;4,830%;0,810%;18,748%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster offensiv cVV
17.06.2026;Amazon.com Inc.;906866;3,871%;0,224%;5,084%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Muster offensiv cVV
17.06.2026;Arista Networks Inc.;A40V33;4,392%;1,006%;28,551%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster offensiv cVV
17.06.2026;Booking Holdings Inc.;A2JEXP;3,092%;-0,494%;-12,910%;-;0%;Dienstleistungen;Nordamerika;Aktien;5;Muster offensiv cVV
17.06.2026;Deutsche Börse AG;581005;3,059%;0,318%;10,573%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster offensiv cVV
17.06.2026;Deutsche Telekom AG;555750;2,648%;0,036%;0,633%;-;0%;Informationstechnologie;Deutschland;Aktien;5;Muster offensiv cVV
17.06.2026;Eli Lilly and Company;858560;3,931%;0,210%;5,856%;-;0%;Chemie,Pharma;Nordamerika;Aktien;5;Muster offensiv cVV
17.06.2026;European Dividend ETF (Franklin);A2DTF2;3,860%;0,142%;3,389%;-;0%;Index;Europa;Aktien;3;Muster offensiv cVV
17.06.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;5,190%;0,672%;14,157%;-;0%;Index;Global;Aktien;5;Muster offensiv cVV
17.06.2026;Intuitive Surgical Inc.;888024;2,015%;-0,784%;-27,477%;-;0%;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Muster offensiv cVV
17.06.2026;Japan Equity Active ETF (GS);A4135A;5,139%;0,157%;3,102%;-;0%;Index;Japan;Aktien;4;Muster offensiv cVV
17.06.2026;Linde plc;A3D7VW;4,213%;0,854%;23,957%;-;0%;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster offensiv cVV
17.06.2026;McDonalds Corp.;856958;2,922%;-0,452%;-12,878%;-;0%;Handel,Konsum;Nordamerika;Aktien;5;Muster offensiv cVV
17.06.2026;Microsoft Corp.;870747;3,615%;-0,723%;-19,731%;-;0%;Informationstechnologie;Nordamerika;Aktien;5;Muster offensiv cVV
17.06.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;3,213%;-0,040%;-1,208%;-;0%;Chemie,Pharma;Global;Aktien;4;Muster offensiv cVV
17.06.2026;Münchener Rückvers.-Ges. AG;843002;3,558%;-0,750%;-17,360%;-;0%;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster offensiv cVV
17.06.2026;Rheinmetall AG;703000;2,854%;-0,158%;-5,203%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster offensiv cVV
17.06.2026;Samsung Electronics Co. Ltd. (GDRs);896360;3,194%;0,161%;5,277%;-;0%;Elektro;Asien;Aktien;5;Muster offensiv cVV
17.06.2026;Semiconductor ETF (VanEck);A2QC5J;7,874%;4,844%;92,746%;-;0%;Nachhaltigkeit;Global;Aktien;6;Muster offensiv cVV
17.06.2026;Siemens AG;723610;3,989%;0,601%;16,796%;-;0%;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster offensiv cVV
17.06.2026;SLB Ltd.;853390;3,132%;-0,299%;-8,659%;-;0%;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;5;Muster offensiv cVV
17.06.2026;VISA Inc.;A0NC7B;3,345%;-0,137%;-3,592%;-;0%;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Muster offensiv cVV
17.06.2026;XETRA Gold;A0S9GB;6,201%;0,057%;0,390%;-;0%;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Muster offensiv cVV
17.06.2026;Zurich Insurance Group AG;579919;2,670%;0,059%;2,038%;-;0%;Banken,Versicherer,Finanzdienstl.;Europa ohne Deutschland;Aktien;5;Muster offensiv cVV
;;;;;;;;;;;;
