Auswertungsdatum;Wertpapier;WKN;Gewicht;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
02.07.2026;Allianz SE;840400;3,504%;0,055%;1,606%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster offensiv cVV
02.07.2026;Alphabet Inc. A;A14Y6F;4,788%;0,788%;18,200%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster offensiv cVV
02.07.2026;Amazon.com Inc.;906866;3,963%;0,333%;7,998%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster offensiv cVV
02.07.2026;Arista Networks Inc.;A40V33;4,268%;0,900%;25,428%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster offensiv cVV
02.07.2026;Booking Holdings Inc.;A2JEXP;3,331%;-0,245%;-5,802%;-;0%;-;-;Dienstleistungen;Nordamerika;Aktien;5;Muster offensiv cVV
02.07.2026;Deutsche Börse AG;581005;3,006%;0,277%;9,095%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster offensiv cVV
02.07.2026;Eli Lilly and Company;858560;4,298%;0,593%;16,232%;-;0%;-;-;Chemie,Pharma;Nordamerika;Aktien;5;Muster offensiv cVV
02.07.2026;European Dividend ETF (Franklin);A2DTF2;3,773%;0,071%;1,482%;-;0%;-;-;Index;Europa;Aktien;3;Muster offensiv cVV
02.07.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;5,243%;0,746%;15,790%;-;0%;-;-;Index;Global;Aktien;5;Muster offensiv cVV
02.07.2026;Intuitive Surgical Inc.;888024;2,138%;-0,654%;-22,732%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Muster offensiv cVV
02.07.2026;Japan Equity Active ETF (GS);A4135A;5,158%;0,198%;3,907%;-;0%;-;-;Index;Japan;Aktien;4;Muster offensiv cVV
02.07.2026;Linde plc;A3D7VW;4,473%;1,133%;32,123%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster offensiv cVV
02.07.2026;McDonalds Corp.;856958;2,894%;-0,468%;-13,355%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster offensiv cVV
02.07.2026;Microsoft Corp.;870747;3,732%;-0,591%;-16,787%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster offensiv cVV
02.07.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;3,460%;0,218%;6,808%;-;0%;-;-;Chemie,Pharma;Global;Aktien;4;Muster offensiv cVV
02.07.2026;Münchener Rückvers.-Ges. AG;843002;3,803%;-0,492%;-11,295%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster offensiv cVV
02.07.2026;Rheinmetall AG;703000;3,774%;-0,240%;-10,293%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster offensiv cVV
02.07.2026;Samsung Electronics Co. Ltd. (GDRs);896360;2,620%;-0,398%;-13,301%;-;0%;-;-;Elektro;Asien;Aktien;5;Muster offensiv cVV
02.07.2026;Semiconductor ETF (VanEck);A2QC5J;7,645%;4,639%;87,897%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;6;Muster offensiv cVV
02.07.2026;Siemens AG;723610;4,028%;0,657%;18,422%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster offensiv cVV
02.07.2026;Siemens Energy AG;ENER6Y;2,933%;-0,076%;-2,527%;-;0%;-;-;Versorger;Deutschland;Aktien;5;Muster offensiv cVV
02.07.2026;SLB Ltd.;853390;2,778%;-0,640%;-18,648%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;5;Muster offensiv cVV
02.07.2026;VISA Inc.;A0NC7B;3,673%;0,204%;6,290%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Muster offensiv cVV
02.07.2026;XETRA Gold;A0S9GB;5,930%;-0,189%;-3,597%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Muster offensiv cVV
;;;;;;;;;;;;;;
