Auswertungsdatum;Wertpapier;WKN;Gewicht;Währung;Performancebeitrag;WP-Performance;Fälligkeit;Kupon;Duration;Rendite;Segment;Region;Gattung;Marktrisikowert;Portfolio Name
06.07.2026;Allianz SE;840400;3,468%;EUR;0,071%;2,043%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster offensiv cVV
06.07.2026;Alphabet Inc. A;A14Y6F;4,803%;USD;0,874%;20,299%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster offensiv cVV
06.07.2026;Amazon.com Inc.;906866;3,928%;USD;0,355%;8,614%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster offensiv cVV
06.07.2026;Arista Networks Inc.;A40V33;4,554%;USD;1,257%;35,789%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster offensiv cVV
06.07.2026;Booking Holdings Inc.;A2JEXP;3,219%;USD;-0,310%;-7,644%;-;0%;-;-;Dienstleistungen;Nordamerika;Aktien;5;Muster offensiv cVV
06.07.2026;Deutsche Börse AG;581005;3,094%;EUR;0,411%;13,934%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster offensiv cVV
06.07.2026;Eli Lilly and Company;858560;4,186%;USD;0,542%;14,856%;-;0%;-;-;Chemie,Pharma;Nordamerika;Aktien;5;Muster offensiv cVV
06.07.2026;European Dividend ETF (Franklin);A2DTF2;3,788%;EUR;0,142%;3,391%;-;0%;-;-;Index;Europa;Aktien;3;Muster offensiv cVV
06.07.2026;Future of Defence UCITS ETF (HanETF);A3EB9T;5,301%;Sonstige Währungen;0,882%;18,776%;-;0%;-;-;Index;Global;Aktien;5;Muster offensiv cVV
06.07.2026;Intuitive Surgical Inc.;888024;2,140%;USD;-0,621%;-21,529%;-;0%;-;-;Prod. Gew. & Industrie;Nordamerika;Aktien;5;Muster offensiv cVV
06.07.2026;Japan Equity Active ETF (GS);A4135A;5,090%;JPY;0,206%;4,053%;-;0%;-;-;Index;Japan;Aktien;4;Muster offensiv cVV
06.07.2026;Linde plc;A3D7VW;4,357%;USD;1,080%;30,587%;-;0%;-;-;Chemie,Pharma;Europa ohne Deutschland;Aktien;5;Muster offensiv cVV
06.07.2026;McDonalds Corp.;856958;2,840%;USD;-0,481%;-13,741%;-;0%;-;-;Handel,Konsum;Nordamerika;Aktien;5;Muster offensiv cVV
06.07.2026;Microsoft Corp.;870747;3,641%;USD;-0,629%;-17,622%;-;0%;-;-;Informationstechnologie;Nordamerika;Aktien;5;Muster offensiv cVV
06.07.2026;MSCI World Healthcare ETF (Xtrackers);A113FD;3,383%;Sonstige Währungen;0,191%;5,969%;-;0%;-;-;Chemie,Pharma;Global;Aktien;4;Muster offensiv cVV
06.07.2026;Münchener Rückvers.-Ges. AG;843002;3,727%;EUR;-0,514%;-11,793%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Deutschland;Aktien;5;Muster offensiv cVV
06.07.2026;Rheinmetall AG;703000;3,830%;EUR;-0,128%;-7,626%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster offensiv cVV
06.07.2026;Samsung Electronics Co. Ltd. (GDRs);896360;2,970%;Sonstige Währungen;-0,004%;-0,252%;-;0%;-;-;Elektro;Asien;Aktien;5;Muster offensiv cVV
06.07.2026;Semiconductor ETF (VanEck);A2QC5J;7,694%;USD;4,810%;91,881%;-;0%;-;-;Nachhaltigkeit;Global;Aktien;6;Muster offensiv cVV
06.07.2026;Siemens AG;723610;4,037%;EUR;0,726%;20,432%;-;0%;-;-;Prod. Gew. & Industrie;Deutschland;Aktien;5;Muster offensiv cVV
06.07.2026;Siemens Energy AG;ENER6Y;2,972%;EUR;0,006%;0,188%;-;0%;-;-;Versorger;Deutschland;Aktien;5;Muster offensiv cVV
06.07.2026;SLB Ltd.;853390;2,804%;USD;-0,573%;-16,675%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Nordamerika;Aktien;5;Muster offensiv cVV
06.07.2026;VISA Inc.;A0NC7B;3,569%;USD;0,153%;4,813%;-;0%;-;-;Banken,Versicherer,Finanzdienstl.;Nordamerika;Aktien;5;Muster offensiv cVV
06.07.2026;XETRA Gold;A0S9GB;5,888%;EUR;-0,145%;-2,883%;-;0%;-;-;Eisen,Stahl,Rohstoffe;Sonstige Regionen;Edelmetalle;5;Muster offensiv cVV
;;;;;;;;;;;;;;;
